Date,Bank,Ticker,Avg_Sentiment,Min_Sentiment,Max_Sentiment,News_Count,Sample_Title
2024-08-12,mercadolibre,MELI,-0.9088666666666668,-0.9623,-0.802,3,Venezuela Blocks Binance Amid Post-Election Unrest
2024-08-13,banco_de_chile,BCH,-0.7003,-0.7003,-0.7003,1,2 Duval County restaurants temporarily closed; 29 fail inspection
2024-08-14,banco_de_chile,BCH,-0.4215,-0.4215,-0.4215,1,Mt. Gox Moved $2B $BTC to Suspected BitGo Wallet for Repayment
2024-08-15,credicorp,BAP,-0.9136,-0.9136,-0.9136,1,"Groyper war, dark elves, bugmen: how the GOP ticket is reviving far-right beef"
2024-08-16,banco_de_chile,BCH,-0.9658,-0.9658,-0.9658,1,"Microsoft Update Warning—‘Malicious’ New Attack Steals Bitcoin, Ethereum, Crypto From Windows Users"
2024-08-16,banco_macro,BMA,-0.9176,-0.9545,-0.8807,2,Bus stop electric shock investigated
2024-08-17,banco_de_chile,BCH,-0.8689,-0.8689,-0.8689,1,Greg Gutfeld Responds to Breastfeeding Secret Service Agent by Laying Out Assassination Plan: ‘Get All the Female Agents Pregnant’ | Video
2024-08-17,banco_macro,BMA,-0.6915666666666667,-0.9442,-0.3947,3,Experts call on Thais to consume less salt
2024-08-18,credicorp,BAP,-0.296,-0.296,-0.296,1,Electric Picnic: Blistering sets from Kneecap and The Mary Wallopers as ‘Free Palestine’ echoes across Stradbally
2024-08-19,banco_macro,BMA,-0.8847,-0.8847,-0.8847,1,Public sector strikes: where are we now
2024-08-21,banco_de_chile,BCH,-0.3182,-0.3182,-0.3182,1,Petrella: Carney closure a blow to community it served
2024-08-21,credicorp,BAP,-0.5859,-0.5859,-0.5859,1,"Rappers Kneecap on big-screen stardom: 'If we get an Oscar, we'll go to Cash My Gold'"
2024-08-22,banco_macro,BMA,-0.78775,-0.8176,-0.7579,2,Physician associates graduate to 'no jobs'
2024-08-23,banco_de_chile,BCH,-0.5267,-0.5267,-0.5267,1,Traders on sidelines awaiting signals from Fed chief
2024-08-23,banco_macro,BMA,-0.8264,-0.8402,-0.8126,2,"No blank cheques for unions over pay, says Reeves"
2024-08-25,banco_inter,INTR,-0.7536,-0.7536,-0.7536,1,Projects/Vala/Tutorial
2024-08-25,banco_macro,BMA,-0.128,-0.128,-0.128,2,"NRIs get IT Dept summons on foreign assets, residency status"
2024-08-25,bbva_argentina,BBAR,-0.7096,-0.7096,-0.7096,1,Details of the upcoming Tamron 50-400mm f/4.5-6.3 Di III VC VXD lens for Nikon Z-mount leaked online
2024-08-25,mercadolibre,MELI,-0.9403,-0.9403,-0.9403,1,Five killed in tragic multi-vehicle crash on Eldoret-Malaba highway
2024-08-26,banco_macro,BMA,-0.7456,-0.7456,-0.7456,1,VL-HIV co-infection with Leishmania containing skin lesions resembling para-kala-azar dermal leishmaniasis
2024-08-26,banco_santander_chile,BSAC,-0.8176,-0.8176,-0.8176,1,Third-generation cephalosporin resistant Escherichia coli in dogs and cats in Germany in 2019–2021
2024-08-26,mercadolibre,MELI,-0.636875,-0.743,-0.3612,4,MercadoLibre ramps up fight with Argentine banks over QR payments
2024-08-27,banco_macro,BMA,-0.76815,-0.8555,-0.6808,2,"Protect children from vapes epidemic, doctors urge government"
2024-08-27,mercadolibre,MELI,-0.7054400000000001,-0.7845,-0.5743,5,Batman's New Origin Transforms His Relationship with Arkham Asylum
2024-08-28,banco_macro,BMA,-0.6431,-0.7003,-0.5859,2,BMA calls for action to curb “vaping epidemic”
2024-08-28,pagseguro_digital,PAGS,-0.9538,-0.9538,-0.9538,1,"With Trump's and Cruz’s Leads Shrinking In Texas, Paxton And Abbott Double Down On Terrorizing Abuelas And Lying"
2024-08-29,banco_de_chile,BCH,-0.9175,-0.9175,-0.9175,1,THE ACOLYTE Star Amandla Stenberg Breaks Silence on the STAR WARS Show Being Canceled
2024-08-29,credicorp,BAP,-0.48915000000000003,-0.9011,-0.0772,2,Effect of denosumab on the incidence of fractures and mortality in patients undergoing hemodialysis: A retrospective cohort study
2024-08-30,banco_de_chile,BCH,-0.3612,-0.3612,-0.3612,1,Tilta CT12 75mm Cine Fluid Head With 2-Stage One-Touch Carbon Fiber Tripod System Review
2024-08-30,banco_macro,BMA,-0.2263,-0.2263,-0.2263,1,Doctors quit British Medical Association in revolt over landmark review into gender identity services for children {some remaining sanity}
2024-08-31,credicorp,BAP,-0.8218,-0.8218,-0.8218,1,Song of the Week: Killer Mike’s El-P-Produced “Detonator” Doesn’t Have to Go So Hard
2024-09-02,banco_macro,BMA,-0.5400666666666667,-0.9403,-0.2584,3,Hundreds of doctors resign from British Medical Association for its support of LGBT child mutilations
2024-09-03,banco_de_chile,BCH,-0.7059,-0.7059,-0.7059,1,AVAX alert: Why a drop to $11 could be near as whales exit the market
2024-09-03,bancolombia,CIB,-0.6808,-0.6808,-0.6808,1,Erwin Chemerinsky on the need for a new US constitution: ‘Our democracy is at grave risk’ (Guardian Delusion Alert)
2024-09-03,credicorp,BAP,-0.3182,-0.3182,-0.3182,1,Kneecap rappers thrown out by landlord as fame yet to translate to fortune
2024-09-03,nu_holdings,NU,-0.6278,-0.8625,-0.4215,3,"‘De droomfabriek’, ‘Fata morgana’ en ‘Gentbrugge’ in een blender"
2024-09-03,xp_inc,XP,-0.7333,-0.9136,-0.508,3,World of Warcraft: The War Within revoluciona com novidades muito bem-vindas
2024-09-04,bancolombia,CIB,-0.8834,-0.8834,-0.8834,1,It Was a Setup… REVEALED: Most Agents Protecting Trump During Attempted Assassination Were Homeland Security Personnel Who Received Only a ‘2-Hour Online Webinar’ Beforehand
2024-09-04,nu_holdings,NU,-0.7148333333333333,-0.7579,-0.6597,3,The Dare - What's Wrong With New York?
2024-09-04,xp_inc,XP,-0.5662,-0.9194,-0.2263,5,Here's how Dragon Age: The Veilguard's Rook and companion progression work
2024-09-05,banco_de_chile,BCH,-0.296,-0.296,-0.296,1,Medical Images Show Man with 90% of His Brain 'Missing'?
2024-09-05,banco_latinoamericano_comercio_exterior,BLX,-0.8507,-0.8507,-0.8507,1,Incidence of straight and angulated screw channel following immediate implant placement in esthetic zone: A simulated cone-beam computed tomography study
2024-09-05,banco_macro,BMA,-0.3818,-0.3818,-0.3818,1,Public engagement in defining triage before future pandemics
2024-09-05,bancolombia,CIB,-0.5333,-0.7555,-0.3111,2,Canada Infrastructure Bank financing agreement reduces CETO project costs for Albertans by approximately $135 million
2024-09-05,credicorp,BAP,-0.0516,-0.0516,-0.0516,1,Pseudo-Scholars and Rise of the Barbarian Right...
2024-09-05,nu_holdings,NU,-0.6780666666666666,-0.9285,-0.1921,3,Falling in Reverse ft. Jelly Roll – All My Life
2024-09-05,xp_inc,XP,-0.7748666666666667,-0.9287,-0.584,6,Zoho Assist
2024-09-06,banco_de_chile,BCH,-0.7506,-0.7506,-0.7506,1,Anna Delvey Calls on ‘The View’ to Issue a Correction After They Complained About Her ‘Dancing With the Stars’ Casting
2024-09-06,nu_holdings,NU,-0.45736666666666664,-0.9623,-0.0258,9,Why founding drummer Rob Bourdon isn’t a part of Linkin…
2024-09-06,xp_inc,XP,-0.26516666666666666,-0.296,-0.2263,3,Cyclic AMP is a global virulence regulator governing inter and intrabacterial signalling in Acinetobacter baumannii
2024-09-07,bancolombia,CIB,-0.7584,-0.7584,-0.7584,1,The Internet Archive Loses Copyright Suit With Hachette
2024-09-07,nu_holdings,NU,-0.6705,-0.6705,-0.6705,1,Dame Dash Shows Missing Teeth After Grills Fall Out of His Mouth
2024-09-08,bancolombia,CIB,-0.765,-0.765,-0.765,1,Why Corporations Are Ditching Wokeness - Executives increasingly realize that they are on the hook for enacting discriminatory policies.
2024-09-08,nu_holdings,NU,-0.9022,-0.9022,-0.9022,1,"Dame Dash Shows Off Missing Teeth, Denies Diamond ‘Dentures’ After His Grills Fall Out During Instagram Live"
2024-09-08,xp_inc,XP,-0.8519,-0.8519,-0.8519,1,"All weapons and perks in Warhammer 40,000: Space Marine 2"
2024-09-09,bancolombia,CIB,-0.7214,-0.765,-0.6808,3,"NC Vice-president Dhan Raj Gurung, ex-wife accused of misappropriating Rs 148 million from cooperative"
2024-09-09,nu_holdings,NU,-0.567825,-0.9217,-0.1779,4,Clown Addresses if Slipknot Might Have Reunited With Jordison
2024-09-09,xp_inc,XP,-0.7263000000000001,-0.9578,-0.4404,6,"Warhammer 40,000: Space Marine 2: Eternal War tips and tricks"
