Date,Company,Ticker,Avg_Sentiment,Min_Sentiment,Max_Sentiment,News_Count,Sample_Title
2024-08-10,ypf,YPF,-0.0516,-0.0516,-0.0516,1,The hunt for Argentina’s ‘alter egos’ in $16bn US court fight
2024-08-12,cemig,CIG,-0.2355,-0.2355,-0.2355,1,UFC 305 Roundtable: Who has more at stake between Dricus du Plessis and Israel Adesanya?
2024-08-12,central_puerto,CEPU,-0.2411,-0.2411,-0.2411,1,Earnings call: Central Puerto reports mixed Q2 2024 results amid new projects
2024-08-12,ypf,YPF,-0.2411,-0.2411,-0.2411,1,Earnings call: Central Puerto reports mixed Q2 2024 results amid new projects
2024-08-15,geopark,GPRK,-0.8402,-0.8402,-0.8402,1,"GPRK Stock Earnings: GeoPark Misses EPS, Misses Revenue for Q2 2024"
2024-08-15,vista_energy,VIST,-0.7184,-0.7184,-0.7184,1,Effect of low-intensity pulsed ultrasound on postoperative rehabilitation of rotator cuff tears: Protocol for a systematic review and meta-analysis
2024-08-16,ypf,YPF,-0.5859,-0.5859,-0.5859,1,Conflict Is Brewing in Libya Once Again
2024-08-17,geopark,GPRK,-0.3612,-0.3612,-0.3612,1,"GeoPark Second Quarter 2024 Earnings: Revenues Beat Expectations, EPS Lags"
2024-08-20,vista_energy,VIST,-0.3612,-0.3612,-0.3612,1,"JPMorgan sees upside in Vista Oil & Gas stock, strategic focus on Argentinian shale"
2024-08-21,central_puerto,CEPU,-0.7096,-0.7096,-0.7096,1,Power outages force university students out of accommodation after union strike delays fix
2024-08-22,cemig,CIG,-0.743,-0.743,-0.743,1,Judge dismisses lawsuit accusing X of discrimination over return-to-work policy
2024-08-22,transportadora_de_gas_del_sur,TGS,-0.4767,-0.4767,-0.4767,1,Mamphela Ramphele: “The Art of Movement Building: Personal Liberation for Public Change”
